trial,approach,latency,trust_score,privacy_score,utility_score,bias_score,tamper_resistant,data_hash,num_verifiers
1,baseline,0.0029082298278808594,0.0,,,,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
2,baseline,0.0,0.0,,,,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
3,baseline,0.0041124820709228516,0.0,,,,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
4,baseline,0.0029740333557128906,0.0,,,,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
5,baseline,0.0014801025390625,0.0,,,,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
1,centralized,2.1494343280792236,35.8337830656794,49.49101358475886,81.10363321903189,22.97870919197813,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
2,centralized,2.262828826904297,35.8337830656794,49.49101358475886,81.10363321903189,22.97870919197813,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
3,centralized,1.7179241180419922,35.8337830656794,49.49101358475886,81.10363321903189,22.97870919197813,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
4,centralized,1.5637056827545166,35.8337830656794,49.49101358475886,81.10363321903189,22.97870919197813,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
5,centralized,1.741018295288086,35.8337830656794,49.49101358475886,81.10363321903189,22.97870919197813,False,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,
1,blockchain,5.007879257202148,52.89479330749745,47.89404870854947,81.03758004025241,21.496083239957276,True,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,3.0
2,blockchain,4.128003835678101,53.647157851610956,48.8951334277809,81.31641680868712,24.282331209185777,True,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,3.0
3,blockchain,4.088974714279175,53.16675641525882,47.048985948045086,82.98537242953266,25.44680120041493,True,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,3.0
4,blockchain,3.869776487350464,53.479079461769906,48.17830130962968,81.87353298737825,23.11456622096705,True,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,3.0
5,blockchain,3.8722286224365234,55.17760070116582,51.496561195756385,82.7085064891468,21.100842374209208,True,21fbf8dceb8644970cd1c8d0b56449c337e1f12871487eeb395cf6ef8af1a958,3.0
