dataset_size,trial,total_time,privacy_time,utility_time,bias_time,privacy_score,utility_score
1000,1,1.1255419254302979,0.35202789306640625,0.7655797004699707,0.007934331893920898,30.140902022951295,91.97066048488551
1000,2,1.0465002059936523,0.3044404983520508,0.7331476211547852,0.008912086486816406,30.628791838188043,92.0249819783752
1000,3,1.1556596755981445,0.4024181365966797,0.7373037338256836,0.01593780517578125,29.73541480612888,91.9961394713271
5000,1,1.281782627105713,0.5143959522247314,0.729010820388794,0.0383758544921875,50.04,91.94588106407652
5000,2,1.210920810699463,0.4697089195251465,0.7140958309173584,0.027116060256958008,50.0,92.02609656530707
5000,3,1.4539687633514404,0.5896704196929932,0.835442066192627,0.028856277465820312,50.019999999999996,92.00243150060781
10000,1,1.701261043548584,0.7094831466674805,0.9278755187988281,0.06390237808227539,50.0,92.06023429971692
10000,2,1.7196648120880127,0.7453875541687012,0.9144043922424316,0.05987286567687988,50.0,91.9764562912592
10000,3,1.7844972610473633,0.742051362991333,0.9669644832611084,0.07548141479492188,50.01,92.04018518012336
32561,1,4.685549736022949,2.093074083328247,2.378323554992676,0.21415209770202637,50.0,92.07214477590502
32561,2,4.187998056411743,1.9943022727966309,2.010171890258789,0.18352389335632324,50.0,92.05035055017035
32561,3,4.3443989753723145,1.7963948249816895,2.338545322418213,0.2094588279724121,50.00307109586938,92.05410580275064
